date,open,high,low,close,volume,dividends,stock_splits,ticker
2025-06-02 00:00:00-04:00,361.41692078756654,364.0968899931985,358.6174040254199,363.9574279785156,3845700,0.0,0.0,V
2025-06-03 00:00:00-04:00,363.22016723710453,365.51160688320164,360.1516684739542,364.4953918457031,5221300,0.0,0.0,V
2025-06-04 00:00:00-04:00,365.34221389723444,368.28122296667425,364.943711922671,366.6274108886719,4202300,0.0,0.0,V
2025-06-05 00:00:00-04:00,368.6199717281593,369.6162419220192,364.5651447422487,365.4020080566406,6881900,0.0,0.0,V
2025-06-06 00:00:00-04:00,367.6336634586357,369.61623135855484,366.17908712646886,368.8391418457031,5008500,0.0,0.0,V
2025-06-09 00:00:00-04:00,368.4107498897708,368.4107498897708,360.6995981996271,365.29241943359375,4999900,0.0,0.0,V
2025-06-10 00:00:00-04:00,365.6311406230525,370.054582467795,365.3123268820121,369.3173522949219,4109300,0.0,0.0,V
2025-06-11 00:00:00-04:00,368.61995081675866,374.1094090027169,368.0022681962065,371.9176025390625,5562700,0.0,0.0,V
2025-06-12 00:00:00-04:00,370.8416612684603,372.77442785632786,368.17163407041176,370.0147399902344,4874000,0.0,0.0,V
2025-06-13 00:00:00-04:00,360.1616076005028,361.6560127256915,343.71317879339284,351.5339050292969,14181700,0.0,0.0,V
2025-06-16 00:00:00-04:00,355.1603259177902,358.87642441668567,353.0083788066973,354.15411376953125,7234700,0.0,0.0,V
2025-06-17 00:00:00-04:00,352.17152878606583,358.2587552676861,352.0021798851322,356.50531005859375,5559600,0.0,0.0,V
2025-06-18 00:00:00-04:00,356.5152840876527,357.1429391552553,336.77917458110494,339.1104431152344,15008600,0.0,0.0,V
2025-06-20 00:00:00-04:00,337.6857774607158,338.73184895038537,333.6708099966599,337.30718994140625,19332100,0.0,0.0,V
2025-06-23 00:00:00-04:00,336.2411765358665,343.01580141271785,334.37815621491995,342.4678649902344,7553300,0.0,0.0,V
2025-06-24 00:00:00-04:00,350.20884540966244,353.2375149471754,346.62229746685085,350.3184509277344,10172000,0.0,0.0,V
2025-06-25 00:00:00-04:00,349.14287332358316,349.9797365701998,343.97222900390625,343.97222900390625,6836300,0.0,0.0,V
2025-06-26 00:00:00-04:00,342.4977415890065,345.61607193787034,340.7542688741627,344.7393493652344,8829500,0.0,0.0,V
2025-06-27 00:00:00-04:00,345.2972681398286,350.6970657382951,344.3707441958881,347.3097229003906,6601900,0.0,0.0,V
2025-06-30 00:00:00-04:00,348.0469863402904,354.28361686489353,347.758059480953,353.7257080078125,7080100,0.0,0.0,V
2025-07-01 00:00:00-04:00,352.5003253091743,355.66845721095933,350.10928293808655,354.1441650390625,6653400,0.0,0.0,V
2025-07-02 00:00:00-04:00,353.2774217720861,355.03083666328854,348.69457273538455,352.8988342285156,5131400,0.0,0.0,V
2025-07-03 00:00:00-04:00,353.2674218638584,357.66097678704637,352.29106619078834,357.521484375,3702800,0.0,0.0,V
2025-07-07 00:00:00-04:00,357.5813092656852,358.318539475627,353.16780922585605,355.309814453125,5138000,0.0,0.0,V
2025-07-08 00:00:00-04:00,355.34962986453337,356.94366818555045,351.93243054636235,353.2275695800781,6966800,0.0,0.0,V
2025-07-09 00:00:00-04:00,353.74562916248493,356.42559814453125,352.43054534303275,356.42559814453125,7297100,0.0,0.0,V
2025-07-10 00:00:00-04:00,355.4990506687876,356.2861125702769,352.13168322955386,354.5526123046875,6121300,0.0,0.0,V
2025-07-11 00:00:00-04:00,351.19519745971826,352.490336482722,343.10548877187523,346.63226318359375,7580200,0.0,0.0,V
