date,open,high,low,close,volume,ticker
2025-07-17,95.075,95.63,94.89,95.09,11165126.0,WMT
2025-07-18,95.085,95.4801,94.43,95.05,14636294.0,WMT
2025-07-21,95.255,96.64,95.1,95.67,13450359.0,WMT
2025-07-22,95.84,96.67,95.74,95.85,9049130.0,WMT
2025-07-23,96.01,96.29,95.29,95.68,9729672.0,WMT
2025-07-24,95.57,96.955,95.35,96.6,14991517.0,WMT
2025-07-25,96.84,97.65,96.53,97.47,12868466.0,WMT
2025-07-28,97.28,98.125,97.075,97.61,12293060.0,WMT
2025-07-29,97.78,98.72,97.34,98.33,14034265.0,WMT
2025-07-30,98.61,98.88,97.29,97.59,13864096.0,WMT
2025-07-31,97.44,98.63,97.31,97.98,15651348.0,WMT
2025-08-01,98.0,98.83,97.6705,98.49,16750407.0,WMT
2025-08-04,98.2,99.91,98.2,99.59,19050206.0,WMT
2025-08-05,99.67,100.47,98.91,99.31,17977008.0,WMT
2025-08-06,99.46,103.685,99.46,103.36,23738420.0,WMT
2025-08-07,103.46,103.9,102.11,103.12,12509479.0,WMT
2025-08-08,103.37,104.72,103.15,103.73,12394722.0,WMT
2025-08-11,103.9,104.33,103.11,103.93,12856706.0,WMT
2025-08-12,104.25,104.31,103.37,103.62,17919327.0,WMT
2025-08-13,102.15,102.805,100.85,100.99,19398499.0,WMT
2025-08-14,101.22,101.44,100.72,100.85,10858447.0,WMT
2025-08-15,100.63,100.77,99.5402,100.0,13604944.0,WMT
2025-08-18,100.0,100.875,99.915,100.7,11656135.0,WMT
2025-08-19,100.96,102.43,100.8,101.29,16999004.0,WMT
2025-08-20,101.15,102.65,100.93,102.57,18655026.0,WMT
2025-08-21,99.41,99.45,96.95,97.96,51825050.0,WMT
2025-08-22,98.065,99.05,96.76,96.83,32695177.0,WMT
2025-08-25,97.0,97.58,96.07,96.07,18956143.0,WMT
2025-08-26,96.275,96.47,95.42,96.05,22270353.0,WMT
2025-08-27,95.9,96.315,95.6,96.08,12925656.0,WMT
2025-08-28,96.0,96.57,95.7,96.11,19241634.0,WMT
2025-08-29,96.1,97.025,95.795,96.98,15600269.0,WMT
2025-09-02,97.23,97.85,96.51,97.85,15351293.0,WMT
2025-09-03,97.85,99.44,97.5,99.44,18726797.0,WMT
2025-09-04,99.91,101.35,99.65,100.93,15640895.0,WMT
2025-09-05,101.08,101.48,99.55,100.51,13748454.0,WMT
2025-09-08,100.85,102.36,100.42,102.28,13685735.0,WMT
2025-09-09,102.0,102.49,101.55,102.29,11819663.0,WMT
2025-09-10,101.95,102.4499,100.39,100.41,17934871.0,WMT
2025-09-11,100.99,102.775,100.28,102.65,15900790.0,WMT
2025-09-12,102.535,103.975,102.36,103.49,11641926.0,WMT
2025-09-15,103.65,103.98,103.405,103.69,10756876.0,WMT
2025-09-16,103.85,104.21,103.13,103.42,14481863.0,WMT
2025-09-17,103.73,106.11,103.73,104.27,25382015.0,WMT
2025-09-18,103.78,104.635,102.12,103.6,14869387.0,WMT
2025-09-19,103.81,103.94,102.09,102.33,34791573.0,WMT
2025-09-22,102.45,103.2,101.9211,102.82,12861946.0,WMT
2025-09-23,102.41,102.68,101.33,102.52,13158658.0,WMT
2025-09-24,103.04,103.47,102.475,102.73,11391834.0,WMT
2025-09-25,103.215,103.51,102.58,103.05,13366747.0,WMT
2025-09-26,102.875,103.49,102.47,103.16,11859265.0,WMT
2025-09-29,103.05,103.31,102.075,103.08,15477159.0,WMT
2025-09-30,103.0,103.935,102.72,103.06,13873389.0,WMT
2025-10-01,102.56,102.86,100.55,101.96,16142766.0,WMT
2025-10-02,101.45,102.135,99.87,101.7,15605363.0,WMT
2025-10-03,101.46,102.815,101.2,102.07,11867483.0,WMT
