date,open,high,low,close,volume,ticker
2025-06-13,698.46,708.8707,681.01,682.87,49803046.0,META
2025-06-20,699.33,707.15,678.67,682.35,56393293.0,META
2025-06-27,683.69,735.43,678.75,733.63,66964199.0,META
2025-07-03,744.55,747.9,712.8,719.01,46771746.0,META
2025-07-11,717.6,737.53,709.7,717.51,49441865.0,META
2025-07-18,717.6,728.0,691.65,704.28,58119553.0,META
2025-07-25,706.8,723.6239,701.41,712.68,46289604.0,META
2025-08-01,715.2,784.75,691.2001,750.01,106919869.0,META
2025-08-08,760.0,783.1299,758.41,769.3,53516377.0,META
2025-08-15,770.075,796.25,764.67,785.23,52495033.0,META
2025-08-22,775.085,775.81,731.0,754.79,60187591.0,META
2025-08-29,754.82,758.88,735.3466,738.7,39316894.0,META
2025-09-05,726.04,761.16,721.7306,752.45,38103871.0,META
2025-09-12,755.995,766.51,743.76,755.59,52736959.0,META
2025-09-19,757.47,790.8,751.985,778.38,66368903.0,META
2025-09-26,781.845,785.73,737.3532,743.75,51695168.0,META
2025-10-03,748.72,750.78,710.18,710.56,73462727.0,META
2025-10-10,705.185,735.27,690.51,705.3,74205500.0,META
2025-10-17,713.01,725.49,699.33,716.915,49577770.0,META
2025-10-24,721.19,742.41,720.18,738.36,44289205.0,META
2025-10-31,749.73,759.155,645.57,648.35,195726753.0,META
2025-11-07,656.0,659.3299,601.2,621.71,134018637.0,META
2025-11-14,631.09,635.0,595.2,609.46,98738450.0,META
2025-11-21,609.035,611.69,581.25,594.25,108402329.0,META
2025-11-28,598.72,648.05,597.6301,647.95,75010589.0,META
2025-12-05,639.55,676.1,637.55,673.42,86619843.0,META
