date,open,high,low,close,volume,ticker
2025-06-13,97.4,98.0892,93.43,94.44,83748231.0,WMT
2025-06-20,94.75,96.31,93.62,96.12,61755901.0,WMT
2025-06-27,95.92,99.105,95.67,97.27,104784011.0,WMT
2025-07-03,97.23,99.1899,96.31,98.36,53627046.0,WMT
2025-07-11,98.23,99.35,94.23,94.4,76998316.0,WMT
2025-07-18,94.51,95.84,94.38,95.05,61212815.0,WMT
2025-07-25,95.255,97.65,95.1,97.47,60089144.0,WMT
2025-08-01,97.28,98.88,97.075,98.49,72593176.0,WMT
2025-08-08,98.2,104.72,98.2,103.73,85669835.0,WMT
2025-08-15,103.9,104.33,99.5402,100.0,74637923.0,WMT
2025-08-22,100.0,102.65,96.76,96.83,131830392.0,WMT
2025-08-29,97.0,97.58,95.42,96.98,88994055.0,WMT
2025-09-05,97.23,101.48,96.51,100.51,63467439.0,WMT
2025-09-12,100.85,103.975,100.28,103.49,70982985.0,WMT
2025-09-19,103.65,106.11,102.09,102.33,100281714.0,WMT
2025-09-26,102.45,103.51,101.33,103.16,62638450.0,WMT
2025-10-03,103.05,103.935,99.87,102.07,72966160.0,WMT
2025-10-10,101.88,103.6291,100.37,101.84,80453951.0,WMT
2025-10-17,101.37,109.575,101.07,107.73,93248740.0,WMT
2025-10-24,107.85,108.25,105.51,106.17,55503643.0,WMT
2025-10-31,106.34,106.36,100.18,101.18,75987356.0,WMT
2025-11-07,100.815,102.97,100.03,102.59,72865860.0,WMT
2025-11-14,102.15,103.93,98.88,102.48,81286871.0,WMT
2025-11-21,102.58,108.15,99.68,105.32,146847562.0,WMT
2025-11-28,105.36,110.7,103.76,110.51,90361847.0,WMT
2025-12-05,110.51,116.27,110.36,115.11,109294591.0,WMT
