date,open,high,low,close,volume,ticker
2025-06-13,214.75,218.4,209.62,212.1,165709554.0,AMZN
2025-06-20,212.31,217.96,208.2709,209.69,185081662.0,AMZN
2025-06-27,209.79,223.3,207.3101,223.3,277144132.0,AMZN
2025-07-03,223.52,224.01,217.93,223.41,158671141.0,AMZN
2025-07-11,223.0,226.6799,218.43,225.02,201340145.0,AMZN
2025-07-18,225.07,227.27,222.18,226.13,179835455.0,AMZN
2025-07-25,225.835,236.0,225.65,231.44,177690471.0,AMZN
2025-08-01,233.35,236.53,212.8,214.75,319625695.0,AMZN
2025-08-08,217.4,226.22,211.42,222.69,257792302.0,AMZN
2025-08-15,221.78,234.08,219.05,231.03,206604332.0,AMZN
2025-08-22,230.225,231.91,220.5,228.84,161200021.0,AMZN
2025-08-29,227.35,232.71,226.02,229.0,129872302.0,AMZN
2025-09-05,223.52,236.0,221.83,232.33,161313170.0,AMZN
2025-09-12,234.94,238.85,226.29,228.15,197870412.0,AMZN
2025-09-19,230.625,235.9,228.71,231.48,250137380.0,AMZN
2025-09-26,230.56,230.565,216.47,219.78,260256158.0,AMZN
2025-10-03,220.08,224.2,216.61,219.51,221486999.0,AMZN
2025-10-10,221.0,228.25,216.0,216.37,240351172.0,AMZN
2025-10-17,217.7,220.68,211.03,213.04,217786234.0,AMZN
2025-10-24,213.88,225.4,213.59,224.21,203910974.0,AMZN
2025-10-31,227.66,250.5,222.75,244.22,405996917.0,AMZN
2025-11-07,255.36,258.6,238.49,244.41,279157093.0,AMZN
2025-11-14,248.34,251.75,232.89,234.69,171589044.0,AMZN
2025-11-21,233.25,234.6,215.18,220.69,297662529.0,AMZN
2025-11-28,222.555,233.285,222.27,233.22,152487985.0,AMZN
2025-12-05,233.22,238.97,226.8,229.53,202984976.0,AMZN
