date,open,high,low,close,volume,ticker
2025-06-13,204.39,206.0,195.7,196.45,283877006.0,AAPL
2025-06-20,197.3,201.7,195.07,201.0,224085074.0,AAPL
2025-06-27,201.625,203.67,198.96,201.08,273391727.0,AAPL
2025-07-03,202.01,214.65,199.2607,213.55,273599330.0,AAPL
2025-07-11,212.68,216.23,207.22,211.16,226036726.0,AAPL
2025-07-18,209.925,212.4,207.54,211.18,225669714.0,AAPL
2025-07-25,212.1,215.78,211.63,213.88,231062208.0,AAPL
2025-08-01,214.03,214.845,201.5,202.38,319915158.0,AAPL
2025-08-08,204.505,231.0,201.675,229.35,431826281.0,AAPL
2025-08-15,227.92,235.12,224.76,231.59,295311911.0,AAPL
2025-08-22,231.7,233.12,223.7804,227.76,192241677.0,AAPL
2025-08-29,226.48,233.41,224.69,232.14,194310890.0,AAPL
2025-09-05,229.25,241.32,226.97,239.69,212557180.0,AAPL
2025-09-12,239.3,240.15,225.95,234.07,304787017.0,AAPL
2025-09-19,237.0,246.3,235.03,245.5,360619530.0,AAPL
2025-09-26,248.3,257.6,248.12,255.46,309374646.0,AAPL
2025-10-03,254.56,259.24,253.01,258.02,218331739.0,AAPL
2025-10-10,257.99,259.07,244.0,245.27,213437899.0,AAPL
2025-10-17,249.38,253.38,244.7,252.29,196438474.0,AAPL
2025-10-24,255.885,265.29,255.43,262.82,253202889.0,AAPL
2025-10-31,264.88,277.32,264.6501,270.37,293563310.0,AAPL
2025-11-07,270.42,273.4,266.25,268.47,241487127.0,AAPL
2025-11-14,268.96,276.699,267.455,272.41,232952837.0,AAPL
2025-11-21,268.815,275.43,265.32,271.49,235974430.0,AAPL
2025-11-28,270.9,280.38,270.9,278.85,166067059.0,AAPL
2025-12-05,278.01,288.62,276.14,278.78,235050842.0,AAPL
